"POT NUMBER","Treatment Type","Line","Pot","Treatment","Tray","Biomass","Fruit Number","Abort Number","Silique Length","Tray","Treatment","Pot","Height (mm)","Leaf #","rosdiam",,,,,,,,
241,"FERTILIZER","cs60000",241,"highwater",".",".","ns",".",".",13,"high H2O",241,"np",".",".",,,,,,,,
242,"FERTILIZER",17933,242,"highwater",".",".","ns",".",".",13,"high H2O",242,"np",".",".",,,,,,,,
243,"FERTILIZER",59835,243,"highwater",".",".","ns",".",".",13,"high H2O",243,"np",".",".",,,,,,,,
244,"FERTILIZER",50488,244,"highwater",".",".","ng",".",".",13,"high H2O",244,"np",".",".",,,,,,,,
245,"FERTILIZER",17933,245,"highwater",".",".","ns",".",".",13,"high H2O",245,"np",".",".",,,,,,,,
246,"FERTILIZER",59835,246,"highwater",13,0,0,5,"0 n/a",13,"high H2O",246,20,12,3.14,,,,,,,,
247,"FERTILIZER",59835,247,"highwater",13,0.01,0,49,"0 n/a",13,"high H2O",247,67,23,5.58,,,,,,,,
248,"FERTILIZER",42704,248,"highwater",13,0.01,0,20,"0 n/a",13,"high H2O",248,22,12,2.25,,,,,,,,
249,"FERTILIZER",134535,249,"highwater",".",".","ng",".",".",13,"high H2O",249,"np-ys",".",".",,,,,,,,
250,"FERTILIZER",38957,250,"highwater",13,0.01,10,43,10.5,13,"high H2O",250,144,4,5.19,,,,,,,,
251,"FERTILIZER",54680,251,"highwater",".",".","ns",".",".",13,"high H2O",251,"np",".",".",,,,,,,,
252,"FERTILIZER",17933,252,"highwater",13,0.01,6,5,11,13,"high H2O",252,84,4,2.66,,,,,,,,
253,"FERTILIZER",54680,253,"highwater",13,0.01,0,29,"0 n/a",13,"high H2O",253,75,15,7.32,,,,,,,,
254,"FERTILIZER",38957,254,"highwater",".",".","ng",".",".",13,"high H2O",254,"np-bs",".",".",,,,,,,,
255,"FERTILIZER","ECOTYPE - 22623",255,"highwater",".",".","ng",".",".",13,"high H2O",255,"np-bs",".",".",,,,,,,,
256,"FERTILIZER",126600,256,"highwater",".",".","ns",".",".",13,"high H2O",256,"np",".",".",,,,,,,,
257,"FERTILIZER",150522,257,"highwater",".",".","ns",".",".",13,"high H2O",257,"np",".",".",,,,,,,,
258,"FERTILIZER",38957,258,"highwater",".",".","ns",".",".",13,"high H2O",258,"np",".",".",,,,,,,,
259,"FERTILIZER",63722,259,"highwater",13,0.05,55,34,14.8,13,"high H2O",259,210,15,6.42,,,,,,,,
260,"FERTILIZER",50488,260,"highwater",".",".","ng",".",".",13,"high H2O",260,"np",".",".",,,,,,,,
261,"FERTILIZER",94332,261,"highwater",14,0.02,9,40,11.1,14,"high H2O",261,136,7,3.98,,,,,,,,
262,"FERTILIZER",42704,262,"highwater",14,0.03,20,18,7.4,14,"high H2O",262,165,30,5.46,,,,,,,,
263,"FERTILIZER",42704,263,"highwater",".",".","ng",".",".",14,"high H2O",263,"np-ws",".",".",,,,,,,,
264,"FERTILIZER",94332,264,"highwater",14,0,0,4,"0 n/a",14,"high H2O",264,15,0,1,,,,,,,,
265,"FERTILIZER",17933,265,"highwater",".",".","ns",".",".",14,"high H2O",265,"np",".",".",,,,,,,,
266,"FERTILIZER",38957,266,"highwater",14,0.01,1,25,6,14,"high H2O",266,99,9,2.79,,,,,,,,
267,"FERTILIZER",54680,267,"highwater",".",".","ns",".",".",14,"high H2O",267,"np",".",".",,,,,,,,
268,"FERTILIZER",63722,268,"highwater",14,0.04,7,109,9.1,14,"high H2O",268,226,9,5.59,,,,,,,,
269,"FERTILIZER",38957,269,"highwater",".",".","ng",".",".",14,"high H2O",269,"np-ys",".",".",,,,,,,,
270,"FERTILIZER",150522,270,"highwater",".",".","ng",".",".",14,"high H2O",270,"np-bs",".",".",,,,,,,,
271,"FERTILIZER",33462,271,"highwater",".",".","ng",".",".",14,"high H2O",271,"np-bs",".",".",,,,,,,,
272,"FERTILIZER",126600,272,"highwater",".",".","ns",".",".",14,"high H2O",272,"np",".",".",,,,,,,,
273,"FERTILIZER",33462,273,"highwater",14,0.01,4,48,10.3,14,"high H2O",273,183,13,3.82,,,,,,,,
274,"FERTILIZER","ECOTYPE - 6885",274,"highwater",".",".","ng",".",".",14,"high H2O",274,"np-ws",".",".",,,,,,,,
275,"FERTILIZER",17933,275,"highwater",".",".","ns",".",".",14,"high H2O",275,"np",".",".",,,,,,,,
276,"FERTILIZER",94332,276,"highwater",".",".","ns",".",".",14,"high H2O",276,"np",".",".",,,,,,,,
277,"FERTILIZER",59835,277,"highwater",14,0.01,7,4,11.2,14,"high H2O",277,103,4,3,,,,,,,,
278,"FERTILIZER","cs60000",278,"highwater",".",".","ns",".",".",14,"high H2O",278,"np",".",".",,,,,,,,
279,"FERTILIZER",63722,279,"highwater",14,0.02,8,34,10.8,14,"high H2O",279,221,6,3.91,,,,,,,,
280,"FERTILIZER",38957,280,"highwater",".",".","ns",".",".",14,"high H2O",280,"np",".",".",,,,,,,,
281,"HI WATER",59835,281,"nutrient",15,0.24,172,28,5.1,15,"high nutrients",281,223,44,11.56,,,,,,,,
282,"HI WATER",63722,282,"nutrient",15,0.21,139,43,11.7,15,"high nutrients",282,281,83,8.87,,,,,,,,
283,"HI WATER",54680,283,"nutrient",15,0.26,170,54,8.5,15,"high nutrients",283,375,44,9.92,,,,,,,,
284,"HI WATER",33462,284,"nutrient",15,0.25,195,62,11.7,15,"high nutrients",284,419,50,8.12,,,,,,,,
285,"HI WATER",17933,285,"nutrient",15,0.5,318,44,9.7,15,"high nutrients",285,400,63,10.05,,,,,,,,
286,"HI WATER",126600,286,"nutrient",15,0.37,497,172,11.8,15,"high nutrients",286,410,59,8.95,,,,,,,,
287,"HI WATER",33462,287,"nutrient",15,0.32,232,35,10.8,15,"high nutrients",287,395,48,11.03,,,,,,,,
288,"HI WATER",54680,288,"nutrient",15,0.26,234,25,8.9,15,"high nutrients",288,349,46,8,,,,,,,,
289,"HI WATER","cs60000",289,"nutrient",".",".","ng",".",".",15,"high nutrients",289,"np-ws",".",".",,,,,,,,
290,"HI WATER",38957,290,"nutrient",".",".","ns",".",".",15,"high nutrients",290,"np",".",".",,,,,,,,
291,"HI WATER",42704,291,"nutrient",".",".","ns",".",".",15,"high nutrients",291,"np",".",".",,,,,,,,
292,"HI WATER",38957,292,"nutrient",".",".","ng",".",".",15,"high nutrients",292,"np-bs",".",".",,,,,,,,
293,"HI WATER",134535,293,"nutrient",".",".","ng",".",".",15,"high nutrients",293,"np-bs",".",".",,,,,,,,
294,"HI WATER","ECOTYPE - 1376",294,"nutrient",".",".","ns",".",".",15,"high nutrients",294,"np",".",".",,,,,,,,
295,"HI WATER",94332,295,"nutrient",15,0.18,121,41,10.9,15,"high nutrients",295,352,63,8.77,,,,,,,,
296,"HI WATER",33462,296,"nutrient",".",".","ns",".",".",15,"high nutrients",296,"np",".",".",,,,,,,,
297,"HI WATER",59835,297,"nutrient",15,0.31,167,86,13.3,15,"high nutrients",297,375,33,10.22,,,,,,,,
298,"HI WATER",33462,298,"nutrient",15,0.26,150,35,8.4,15,"high nutrients",298,313,34,8.28,,,,,,,,
299,"HI WATER",54680,299,"nutrient",15,0.29,182,48,8.1,15,"high nutrients",299,370,36,9,,,,,,,,
300,"HI WATER",54680,300,"nutrient",".",".","ns",".",".",15,"high nutrients",300,"np",".",".",,,,,,,,
301,"HI WATER",42704,301,"nutrient",".",".","ns",".",".",16,"high nutrients",301,"np",".",".",,,,,,,,
302,"HI WATER",150522,302,"nutrient",16,0.4,204,18,5,16,"high nutrients",302,285,124,12.93,,,,,,,,
303,"HI WATER","ECOTYPE - 22594",303,"nutrient",".",".","ng",".",".",16,"high nutrients",303,"np-ys",".",".",,,,,,,,
304,"HI WATER",38957,304,"nutrient",".",".","ng",".",".",16,"high nutrients",304,"np",".",".",,,,,,,,
305,"HI WATER","ECOTYPE - 22645",305,"nutrient",".",".","ns",".",".",16,"high nutrients",305,"np-bs",".",".",,,,,,,,
306,"HI WATER",38957,306,"nutrient",".",".","ng",".",".",16,"high nutrients",306,"np-bs",".",".",,,,,,,,
307,"HI WATER",63722,307,"nutrient",".",".","ns",".",".",16,"high nutrients",307,"np",".",".",,,,,,,,
308,"HI WATER",126600,308,"nutrient",16,0.65,166,55,8,16,"high nutrients",308,390,53,10.63,,,,,,,,
309,"HI WATER",94332,309,"nutrient",".",".","ns",".",".",16,"high nutrients",309,"np",".",".",,,,,,,,
310,"HI WATER",134535,310,"nutrient",16,0.26,162,29,10,16,"high nutrients",310,330,10,10.04,,,,,,,,
311,"HI WATER",94332,311,"nutrient",".",".","2 plants",".",".",16,"high nutrients",311,310,".",".",,,,,,,,
312,"HI WATER","cs60000",312,"nutrient",".",".","ns",".",".",16,"high nutrients",312,"np",".",".",,,,,,,,
313,"HI WATER",50488,313,"nutrient",".",".","ns",".",".",16,"high nutrients",313,"np",".",".",,,,,,,,
314,"HI WATER",63722,314,"nutrient",".",".","ns",".",".",16,"high nutrients",314,"np-ws",".",".",,,,,,,,
315,"HI WATER",150522,315,"nutrient",16,0.43,161,40,4,16,"high nutrients",315,399,45,5.88,,,,,,,,
316,"HI WATER",17933,316,"nutrient",16,0.43,181,32,10.5,16,"high nutrients",316,266,63,10.96,,,,,,,,
317,"HI WATER",50488,317,"nutrient",".",".","ng",".",".",16,"high nutrients",317,"np-ws",".",".",,,,,,,,
318,"HI WATER",59835,318,"nutrient",16,0.17,100,17,9,16,"high nutrients",318,316,36,8.17,,,,,,,,
319,"HI WATER",17933,319,"nutrient",16,0.57,197,161,12,16,"high nutrients",319,169,153,11.87,,,,,,,,
320,"HI WATER",63722,320,"nutrient",".",".","2 plants",".",".",16,"high nutrients",320,"np-ws",".",".",,,,,,,,
321,"HI WATER",63722,321,"nutrient",17,0.55,223,22,8.5,17,"high nutrients",321,470,".",7.09,,,,,,,,
322,"HI WATER",17933,322,"nutrient",".",".","2 plants",".",".",17,"high nutrients",322,"np-ws",52,".",,,,,,,,
323,"HI WATER",50488,323,"nutrient",".",".","ng",".",".",17,"high nutrients",323,"np-ws",".",".",,,,,,,,
324,"HI WATER",50488,324,"nutrient",17,0.46,192,36,9.5,17,"high nutrients",324,367,204,11.88,,,,,,,,
325,"HI WATER","ECOTYPE - 22623",325,"nutrient",".",".","ng",".",".",17,"high nutrients",325,"np-ys",147,".",,,,,,,,
326,"HI WATER",59835,326,"nutrient",17,0.99,358,20,13.5,17,"high nutrients",326,320,83,14.54,,,,,,,,
327,"HI WATER",94332,327,"nutrient",17,0.79,215,62,13.5,17,"high nutrients",327,287,".",12.11,,,,,,,,
328,"HI WATER",150522,328,"nutrient",17,0.47,165,12,8.5,17,"high nutrients",328,427,33,10.81,,,,,,,,
329,"HI WATER",134535,329,"nutrient",".",".","ng",".",".",17,"high nutrients",329,"np-bs",".",".",,,,,,,,
330,"HI WATER",94332,330,"nutrient",17,0.33,150,1,7,17,"high nutrients",330,406,33,10.29,,,,,,,,
331,"HI WATER",134535,331,"nutrient",".",".","ng",".",".",17,"high nutrients",331,"np-bs",".",".",,,,,,,,
332,"HI WATER",150522,332,"nutrient",".",".","ns",".",".",17,"high nutrients",332,"np",".",".",,,,,,,,
333,"HI WATER",59835,333,"nutrient",17,0.48,134,75,4.5,17,"high nutrients",333,297,116,12.96,,,,,,,,
334,"HI WATER",38957,334,"nutrient",".",".","ns",".",".",17,"high nutrients",334,"np",".",".",,,,,,,,
335,"HI WATER",17933,335,"nutrient",17,0.87,324,20,9,17,"high nutrients",335,339,107,13.12,,,,,,,,
336,"HI WATER",134535,336,"nutrient",".",".","ng",".",".",17,"high nutrients",336,"np-ys",".",".",,,,,,,,
337,"HI WATER","ECOTYPE - 22635",337,"nutrient",".",".","ns",".",".",17,"high nutrients",337,"np",".",".",,,,,,,,
338,"HI WATER","cs60000",338,"nutrient",".",".","ng",".",".",17,"high nutrients",338,"np-ys",".",".",,,,,,,,
339,"HI WATER",94332,339,"nutrient",".",".","ns",".",".",17,"high nutrients",339,"np",".",".",,,,,,,,
340,"HI WATER",50488,340,"nutrient",".",".","ng",".",".",17,"high nutrients",340,"np-ws",".",".",,,,,,,,
341,"HI WATER",94332,341,"nutrient",18,0.58,174,28,12.5,18,"high nutrients",341,416,66,11.78,,,,,,,,
342,"HI WATER",54680,342,"nutrient",".",".","ns",".",".",18,"high nutrients",342,"np",".",".",,,,,,,,
343,"HI WATER",38957,343,"nutrient",".",".","ns",".",".",18,"high nutrients",343,"np",".",".",,,,,,,,
344,"HI WATER",38957,344,"nutrient",".",".","ng",".",".",18,"high nutrients",344,"np-ws",".",".",,,,,,,,
345,"HI WATER",42704,345,"nutrient",".",".","ns",".",".",18,"high nutrients",345,"np",".",".",,,,,,,,
346,"HI WATER",126600,346,"nutrient",18,0.39,100,26,7,18,"high nutrients",346,340,53,7.04,,,,,,,,
347,"HI WATER",94332,347,"nutrient",18,0.48,205,32,3.5,18,"high nutrients",347,430,46,11.52,,,,,,,,
348,"HI WATER",33462,348,"nutrient",18,0.18,118,10,10.5,18,"high nutrients",348,379,27,5.91,,,,,,,,
349,"HI WATER",50488,349,"nutrient",18,0.16,5,64,6.1,18,"high nutrients",349,95,71,4.26,,,,,,,,
350,"HI WATER",150522,350,"nutrient",18,0.59,334,71,5.1,18,"high nutrients",350,382,76,15.18,,,,,,,,
351,"HI WATER",42704,351,"nutrient",18,0.31,113,80,7.2,18,"high nutrients",351,319,58,8.23,,,,,,,,
352,"HI WATER",42704,352,"nutrient",".",".","ng",".",".",18,"high nutrients",352,"np-bs",".",".",,,,,,,,
353,"HI WATER",59835,353,"nutrient",18,0.55,314,59,12.2,18,"high nutrients",353,386,81,11.69,,,,,,,,
354,"HI WATER",150522,354,"nutrient",".",".","ns",".",".",18,"high nutrients",354,"np",".",".",,,,,,,,
355,"HI WATER",42704,355,"nutrient",".",".","ns",".",".",18,"high nutrients",355,"np",".",".",,,,,,,,
356,"HI WATER",50488,356,"nutrient",".",".","ns",".",".",18,"high nutrients",356,"np",".",".",,,,,,,,
357,"HI WATER",94332,357,"nutrient",".",".","ns",".",".",18,"high nutrients",357,"np",".",".",,,,,,,,
358,"HI WATER",150522,358,"nutrient",18,0.5,243,69,7.4,18,"high nutrients",358,412,67,12.45,,,,,,,,
359,"HI WATER",126600,359,"nutrient",18,0.92,498,87,9.2,18,"high nutrients",359,399,117,14.3,,,,,,,,
360,"HI WATER","cs60000",360,"nutrient",".",".","ns",".",".",18,"high nutrients",360,"np",".",".",,,,,,,,
361,"HI WATER",59835,361,"nutrient",".",".","ns",".",".",19,"high nutrients",361,"np",".",".",,,,,,,,
362,"HI WATER","ECOTYPE - 22594",362,"nutrient",".",".","ns",".",".",19,"high nutrients",362,"np-ws",".",".",,,,,,,,
363,"HI WATER",59835,363,"nutrient",19,0.51,327,92,11,19,"high nutrients",363,428,96,13.8,,,,,,,,
364,"HI WATER",33462,364,"nutrient",19,0.36,219,49,8.4,19,"high nutrients",364,425,60,6.96,,,,,,,,
365,"HI WATER",63722,365,"nutrient",19,0.19,139,46,10.7,19,"high nutrients",365,342,55,8.11,,,,,,,,
366,"HI WATER",134535,366,"nutrient",".",".","ng",".",".",19,"high nutrients",366,"np-bs",".",".",,,,,,,,
367,"HI WATER",126600,367,"nutrient",".",".","ns",".",".",19,"high nutrients",367,"np",".",".",,,,,,,,
368,"HI WATER","ECOTYPE - 22631",368,"nutrient",19,0.39,148,106,18.1,19,"high nutrients",368,450,84,8.76,,,,,,,,
369,"HI WATER",63722,369,"nutrient",19,0.36,180,53,5.4,19,"high nutrients",369,420,65,8.55,,,,,,,,
370,"HI WATER","cs60000",370,"nutrient",19,0.25,216,99,12,19,"high nutrients",370,350,57,9.78,,,,,,,,
371,"HI WATER",150522,371,"nutrient",".",".","ns",".",".",19,"high nutrients",371,"np",".",".",,,,,,,,
372,"HI WATER",134535,372,"nutrient",".",".","ns",".",".",19,"high nutrients",372,"np",".",".",,,,,,,,
373,"HI WATER",54680,373,"nutrient",19,0.35,247,140,9.5,19,"high nutrients",373,320,118,9.82,,,,,,,,
374,"HI WATER",17933,374,"nutrient",19,0.23,147,21,5.9,19,"high nutrients",374,339,58,7.83,,,,,,,,
375,"HI WATER",50488,375,"nutrient",19,0.1,90,32,11.5,19,"high nutrients",375,295,41,5.83,,,,,,,,
376,"HI WATER",126600,376,"nutrient",19,0.21,91,67,13.3,19,"high nutrients",376,348,60,9.51,,,,,,,,
377,"HI WATER",134535,377,"nutrient",19,0.42,48,219,9,19,"high nutrients",377,174,150,6.06,,,,,,,,
378,"HI WATER",63722,378,"nutrient",19,0.21,30,59,6,19,"high nutrients",378,245,105,4.41,,,,,,,,
379,"HI WATER",94332,379,"nutrient",".",".","ns",".",".",19,"high nutrients",379,"np",".",".",,,,,,,,
380,"HI WATER",42704,380,"nutrient",".",".","ns",".",".",19,"high nutrients",380,"np",".",".",,,,,,,,
381,"HI WATER",50488,381,"nutrient",".",".","ns",".",".",20,"high nutrients",381,"np",".",".",,,,,,,,
382,"HI WATER",134535,382,"nutrient",".",".","ns",".",".",20,"high nutrients",382,"np",".",".",,,,,,,,
383,"HI WATER","cs60000",383,"nutrient",20,0.41,164,17,12,20,"high nutrients",383,355,54,8.12,,,,,,,,
384,"HI WATER","ECOTYPE - 22635",384,"nutrient",20,0.9,169,161,14.5,20,"high nutrients",384,405,105,15.67,,,,,,,,
385,"HI WATER",59835,385,"nutrient",".",".","ns",".",".",20,"high nutrients",385,"np",".",".",,,,,,,,
386,"HI WATER",126600,386,"nutrient",20,0.48,236,18,7,20,"high nutrients",386,368,56,13.16,,,,,,,,
387,"HI WATER","cs60000",387,"nutrient",20,".","2 plants",".",".",20,"high nutrients",387,".",".",".",,,,,,,,
388,"HI WATER",50488,388,"nutrient",".",".","ns",".",".",20,"high nutrients",388,"np",".",".",,,,,,,,
389,"HI WATER",59835,389,"nutrient",20,0.24,166,15,9.5,20,"high nutrients",389,284,61,7.73,,,,,,,,
390,"HI WATER",33462,390,"nutrient",".",".","ng",".",".",20,"high nutrients",390,"np-ws",".",".",,,,,,,,
391,"HI WATER",42704,391,"nutrient",20,0.66,276,26,10,20,"high nutrients",391,327,56,11.14,,,,,,,,
392,"HI WATER",150522,392,"nutrient",".",".","ns",".",".",20,"high nutrients",392,"np",".",".",,,,,,,,
393,"HI WATER",134535,393,"nutrient",".",".","ng",".",".",20,"high nutrients",393,"np-ws",".",".",,,,,,,,
394,"HI WATER",42704,394,"nutrient",20,0.3,255,34,13,20,"high nutrients",394,346,50,10.29,,,,,,,,
395,"HI WATER",38957,395,"nutrient",".",".","ng",".",".",20,"high nutrients",395,"np-ws",".",".",,,,,,,,
396,"HI WATER",38957,396,"nutrient",20,0.49,160,9,8,20,"high nutrients",396,349,69,9.52,,,,,,,,
397,"HI WATER",126600,397,"nutrient",20,0.21,170,44,11.5,20,"high nutrients",397,319,56,9.18,,,,,,,,
398,"HI WATER",54680,398,"nutrient",20,0.23,192,43,10,20,"high nutrients",398,402,64,9.68,,,,,,,,
399,"HI WATER","ECOTYPE - 1554",399,"nutrient",20,0.14,79,141,11,20,"high nutrients",399,196,48,7.05,,,,,,,,
400,"HI WATER",33462,400,"nutrient",20,0.45,140,24,5,20,"high nutrients",400,350,47,10.02,,,,,,,,
401,"HI WATER","ECOTYPE - 22645",401,"nutrient",21,0.51,232,20,12.5,21,"high nutrients",401,352,60,10.03,,,,,,,,
402,"HI WATER",54680,402,"nutrient",21,0.5,188,26,10,21,"high nutrients",402,299,91,10.09,,,,,,,,
403,"HI WATER",126600,403,"nutrient",".",".","ng",".",".",21,"high nutrients",403,"np-ys",".",".",,,,,,,,
404,"HI WATER",63722,404,"nutrient",21,0.28,74,67,9,21,"high nutrients",404,251,80,8.99,,,,,,,,
405,"HI WATER",54680,405,"nutrient",21,0.35,129,43,10,21,"high nutrients",405,319,75,10.11,,,,,,,,
406,"HI WATER",63722,406,"nutrient",21,0.34,7,15,9,21,"high nutrients",406,122,23,11.8,,,,,,,,
407,"HI WATER","cs60000",407,"nutrient",".",".","ns",".",".",21,"high nutrients",407,"np",".",".",,,,,,,,
408,"HI WATER","cs60000",408,"nutrient",".",".","ng",".",".",21,"high nutrients",408,"np-bs",".",".",,,,,,,,
409,"HI WATER",33462,409,"nutrient",".",".","ns",".",".",21,"high nutrients",409,"np",".",".",,,,,,,,
410,"HI WATER",33462,410,"nutrient",21,0.31,169,14,10,21,"high nutrients",410,388,38,9.39,,,,,,,,
411,"HI WATER",17933,411,"nutrient",21,0.53,171,30,7.5,21,"high nutrients",411,356,68,13.57,,,,,,,,
412,"HI WATER",54680,412,"nutrient",21,0.3,134,16,6.5,21,"high nutrients",412,314,42,9.89,,,,,,,,
413,"HI WATER","cs60000",413,"nutrient",".",".","ng",".",".",21,"high nutrients",413,"np-bs",".",".",,,,,,,,
414,"HI WATER",42704,414,"nutrient",21,0.49,387,76,11,21,"high nutrients",414,401,36,10.04,,,,,,,,
415,"HI WATER",150522,415,"nutrient",".",".","ns",".",".",21,"high nutrients",415,"np",".",".",,,,,,,,
416,"HI WATER",17933,416,"nutrient",21,0.37,191,7,9.5,21,"high nutrients",416,397,45,9.79,,,,,,,,
417,"HI WATER",126600,417,"nutrient",21,0.47,227,16,8.5,21,"high nutrients",417,405,64,11.21,,,,,,,,
418,"HI WATER",17933,418,"nutrient",".",".","ns",".",".",21,"high nutrients",418,"np",".",".",,,,,,,,
419,"HI WATER",17933,419,"nutrient",21,0.69,324,23,13,21,"high nutrients",419,498,63,10.79,,,,,,,,
420,"HI WATER",38957,420,"nutrient",21,".","2 plants",".",".",21,"high nutrients",420,".",".",".",,,,,,,,
