"POT NUMBER","Treatment Type","Line","Pot","Treatment","Tray","Biomass","Fruit Number","Abort Number","Silique Length","Tray","Treatment","Pot","Height (mm)","Leaf #","rosdiam",,,,,,,,
59,"CONTROL",42704,59,"control",3,0.12,98,14,9,3,"control",59,338,33,8.07,,,,,,,,
60,"CONTROL",54680,60,"control",3,".","ng",".",".",3,"control",60,"np-ws",".",".",,,,,,,,
61,"CONTROL",54680,61,"control",4,0.23,170,29,11.1,4,"control",61,388,46,10.81,,,,,,,,
62,"CONTROL",54680,62,"control",4,0.19,155,26,8.7,4,"control",62,369,37,9.03,,,,,,,,
63,"CONTROL",54680,63,"control",4,0.44,274,31,12,4,"control",63,489,69,14.25,,,,,,,,
64,"CONTROL","ECOTYPE - 1554",64,"control",4,".","ng",".",".",4,"control",64,"np-bs",".",".",,,,,,,,
65,"CONTROL",63722,65,"control",4,0.16,155,30,8.8,4,"control",65,369,35,11.13,,,,,,,,
66,"CONTROL",63722,66,"control",4,0.22,203,161,7.8,4,"control",66,450,47,10.7,,,,,,,,
67,"CONTROL",38957,67,"control",4,".","ng",".",".",4,"control",67,"np-ws",".",".",,,,,,,,
68,"CONTROL",134535,68,"control",4,".","ng",".",".",4,"control",68,"np-ws",".",".",,,,,,,,
69,"CONTROL","ECOTYPE - 22631",69,"control",4,0.21,148,56,12.6,4,"control",69,348,33,9.64,,,,,,,,
70,"CONTROL",63722,70,"control",4,".","ng",".",".",4,"control",70,"np-ys",".",".",,,,,,,,
71,"CONTROL",42704,71,"control",4,0.4,250,78,8.3,4,"control",71,417,62,11.9,,,,,,,,
72,"CONTROL",38957,72,"control",4,".","ns",".",".",4,"control",72,"np",".",".",,,,,,,,
73,"CONTROL","cs60000",73,"control",4,0.25,177,22,9.9,4,"control",73,459,36,11.35,,,,,,,,
74,"CONTROL",54680,74,"control",4,0.1,74,20,8,4,"control",74,328,30,7.83,,,,,,,,
75,"CONTROL",59835,75,"control",4,0.38,216,39,6.3,4,"control",75,370,62,13.37,,,,,,,,
76,"CONTROL",59835,76,"control",4,0.3,172,25,5.7,4,"control",76,449,35,12.49,,,,,,,,
77,"CONTROL",54680,77,"control",4,".","ns",".",".",4,"control",77,"np",".",".",,,,,,,,
78,"CONTROL","ECOTYPE - 22594",78,"control",4,0.48,192,111,14.5,4,"control",78,572,52,14.29,,,,,,,,
79,"CONTROL",150522,79,"control",4,0.14,95,16,12.1,4,"control",79,325,40,6.92,,,,,,,,
80,"CONTROL",94332,80,"control",4,0.2,114,38,10.9,4,"control",80,306,38,5.73,,,,,,,,
81,"CONTROL",126600,81,"control",5,0.12,43,52,9.9,5,"control",81,143,24,4.04,,,,,,,,
82,"CONTROL",17933,82,"control",5,".","ns",".",".",5,"control",82,"np",".",".",,,,,,,,
83,"CONTROL",33462,83,"control",5,0.27,230,46,12.1,5,"control",83,445,32,11.34,,,,,,,,
84,"CONTROL",38957,84,"control",5,0.14,131,26,13,5,"control",84,306,28,6.76,,,,,,,,
