"tagnum","line","SALK_Line","fruits.removed","alive.at.harvest","comments"
846,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
847,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
848,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
849,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
850,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
851,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
852,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
853,"033801-bulk-t4","SALK_033801-BULK-T4",0,1,
854,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
855,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
856,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
857,"033801-bulk-t4","SALK_033801-BULK-T4",2,1,
858,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
859,"033801-bulk-t4","SALK_033801-BULK-T4",3,1,
860,"033801-bulk-t4","SALK_033801-BULK-T4",4,1,
861,"135114c","SALK_135114C",0,1,
862,"135114c","SALK_135114C",0,1,
863,"135114c","SALK_135114C",0,1,
864,"135114c","SALK_135114C",0,1,
865,"135114c","SALK_135114C",0,1,
866,"135114c","SALK_135114C",0,1,
867,"135114c","SALK_135114C",0,1,
868,"135114c","SALK_135114C",0,1,
869,"135114c","SALK_135114C",0,0,
870,"135114c","SALK_135114C",0,0,
871,"135114c","SALK_135114C",0,1,
872,"135114c","SALK_135114C",0,1,
873,"023733c","SALK_023733C",0,1,
874,"023733c","SALK_023733C",0,1,
875,"023733c","SALK_023733C",0,1,
876,"023733c","SALK_023733C",0,0,
877,"023733c","SALK_023733C",0,1,
878,"023733c","SALK_023733C",3,1,
879,"019565c","SALK_019565C",0,1,
880,"019565c","SALK_019565C",0,1,
881,"019565c","SALK_019565C",0,1,
882,"019565c","SALK_019565C",0,1,
883,"019565c","SALK_019565C",0,1,
884,"019565c","SALK_019565C",0,1,
885,"019565c","SALK_019565C",0,1,
886,"019565c","SALK_019565C",0,1,
887,"019565c","SALK_019565C",3,1,
888,"NOT-USED","NOT-USED",,,
889,"NOT-USED","NOT-USED",,,
890,"NOT-USED","NOT-USED",,,
891,"NOT-USED","NOT-USED",,,
892,"NOT-USED","NOT-USED",,,
893,"NOT-USED","NOT-USED",,,
894,"NOT-USED","NOT-USED",,,
895,"NOT-USED","NOT-USED",,,
896,"NOT-USED","NOT-USED",,,
897,"NOT-USED","NOT-USED",,,
898,"NOT-USED","NOT-USED",,,
899,"NOT-USED","NOT-USED",,,
900,"NOT-USED","NOT-USED",,,
901,"NOT-USED","NOT-USED",,,
902,"NOT-USED","NOT-USED",,,
903,"NOT-USED","NOT-USED",,,
904,"NOT-USED","NOT-USED",,,
905,"NOT-USED","NOT-USED",,,
906,"NOT-USED","NOT-USED",,,
907,"NOT-USED","NOT-USED",,,
908,"NOT-USED","NOT-USED",,,
909,"NOT-USED","NOT-USED",,,
910,"NOT-USED","NOT-USED",,,
911,"NOT-USED","NOT-USED",,,
912,"NOT-USED","NOT-USED",,,
913,"NOT-USED","NOT-USED",,,
914,"NOT-USED","NOT-USED",,,
915,"NOT-USED","NOT-USED",,,
916,"NOT-USED","NOT-USED",,,
917,"NOT-USED","NOT-USED",,,
918,"NOT-USED","NOT-USED",,,
919,"NOT-USED","NOT-USED",,,
920,"NOT-USED","NOT-USED",,,
921,"NOT-USED","NOT-USED",,,
922,"NOT-USED","NOT-USED",,,
923,"NOT-USED","NOT-USED",,,
924,"NOT-USED","NOT-USED",,,
925,"NOT-USED","NOT-USED",,,
926,"NOT-USED","NOT-USED",,,
927,"NOT-USED","NOT-USED",,,
928,"149150c","SALK_149150C",0,1,
929,"149150c","SALK_149150C",0,1,
930,"149150c","SALK_149150C",0,1,
931,"149150c","SALK_149150C",3,1,
932,"149150c","SALK_149150C",0,1,
933,"149150c","SALK_149150C",0,1,
934,"149150c","SALK_149150C",0,1,
935,"149150c","SALK_149150C",0,1,
936,"149150c","SALK_149150C",0,1,
937,"149150c","SALK_149150C",0,1,
938,"149150c","SALK_149150C",0,1,
939,"149150c","SALK_149150C",0,1,
940,"043475c","SALK_043475C",0,1,
941,"043475c","SALK_043475C",0,1,
942,"043475c","SALK_043475C",0,1,
943,"043475c","SALK_043475C",0,1,
944,"043475c","SALK_043475C",0,1,
945,"043475c","SALK_043475C",0,1,
946,"043475c","SALK_043475C",0,1,
947,"043475c","SALK_043475C",0,1,
948,"043475c","SALK_043475C",0,1,
949,"043475c","SALK_043475C",0,1,
950,"043475c","SALK_043475C",0,1,
951,"043475c","SALK_043475C",0,1,
952,"126600c","SALK_126600C",3,1,
953,"126600c","SALK_126600C",0,1,
954,"126600c","SALK_126600C",0,1,
955,"126600c","SALK_126600C",0,1,
956,"126600c","SALK_126600C",0,1,
957,"126600c","SALK_126600C",0,1,
958,"126600c","SALK_126600C",0,1,
959,"126600c","SALK_126600C",0,1,
960,"126600c","SALK_126600C",0,0,
961,"126600c","SALK_126600C",0,0,
962,"126600c","SALK_126600C",0,1,
963,"126600c","SALK_126600C",0,1,
964,"NOT-USED","NOT-USED",,,
965,"NOT-USED","NOT-USED",,,
966,"NOT-USED","NOT-USED",,,
967,"NOT-USED","NOT-USED",,,
968,"NOT-USED","NOT-USED",,,
969,"NOT-USED","NOT-USED",,,
970,"NOT-USED","NOT-USED",,,
971,"NOT-USED","NOT-USED",,,
972,"NOT-USED","NOT-USED",,,
973,"NOT-USED","NOT-USED",,,
974,"NOT-USED","NOT-USED",,,
975,"NOT-USED","NOT-USED",,,
976,"NOT-USED","NOT-USED",,,
977,"NOT-USED","NOT-USED",,,
978,"NOT-USED","NOT-USED",,,
979,"NOT-USED","NOT-USED",,,
980,"NOT-USED","NOT-USED",,,
981,"NOT-USED","NOT-USED",,,
982,"NOT-USED","NOT-USED",,,
983,"NOT-USED","NOT-USED",,,
984,"NOT-USED","NOT-USED",,,
985,"NOT-USED","NOT-USED",,,
986,"043219c","SALK_043219C",0,1,
