"tagnum","line","SALK_Line","fruits.removed","alive.at.harvest","comments"
1358,"072465c","SALK_072465C",0,1,
1359,"072465c","SALK_072465C",0,1,
1360,"072465c","SALK_072465C",0,1,
1361,"027691c","SALK_027691C",0,1,
1362,"027691c","SALK_027691C",0,1,
1363,"027691c","SALK_027691C",0,1,
1364,"027691c","SALK_027691C",0,1,
1365,"027691c","SALK_027691C",0,1,
1366,"027691c","SALK_027691C",0,1,
1367,"027691c","SALK_027691C",0,1,
1368,"027691c","SALK_027691C",0,1,
1369,"027691c","SALK_027691C",0,1,
1370,"027691c","SALK_027691C",0,1,
1371,"027691c","SALK_027691C",0,1,
1372,"061729c","SALK_061729C",4,1,
1373,"061729c","SALK_061729C",0,1,
1374,"061729c","SALK_061729C",0,1,
1375,"061729c","SALK_061729C",0,1,
1376,"045623c","SALK_045623C",0,1,
1377,"045623c","SALK_045623C",0,1,
1378,"045623c","SALK_045623C",0,1,
1379,"045623c","SALK_045623C",0,1,
1380,"045623c","SALK_045623C",0,1,
1381,"045623c","SALK_045623C",0,1,
1382,"045623c","SALK_045623C",0,1,
1383,"045623c","SALK_045623C",0,1,
1384,"045623c","SALK_045623C",0,1,
1385,"045623c","SALK_045623C",3,1,
1386,"NOT-USED","NOT-USED",,,
1387,"NOT-USED","NOT-USED",,,
1388,"NOT-USED","NOT-USED",,,
1389,"NOT-USED","NOT-USED",,,
1390,"NOT-USED","NOT-USED",,,
1391,"NOT-USED","NOT-USED",,,
1392,"NOT-USED","NOT-USED",,,
1393,"NOT-USED","NOT-USED",,,
1394,"NOT-USED","NOT-USED",,,
1395,"NOT-USED","NOT-USED",,,
1396,"NOT-USED","NOT-USED",,,
1397,"NOT-USED","NOT-USED",,,
1398,"NOT-USED","NOT-USED",,,
1399,"NOT-USED","NOT-USED",,,
1400,"NOT-USED","NOT-USED",,,
1401,"NOT-USED","NOT-USED",,,
1402,"NOT-USED","NOT-USED",,,
1403,"NOT-USED","NOT-USED",,,
